Unnamed: 0	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
1	0.9771	True	0.8816	False	0.7772	False	0.9016	Substrate	0.5834	Non-inhibitor	0.8342	Non-inhibitor	0.7673	Non-inhibitor	0.7534	Non-substrate	0.7806	Non-substrate	0.6353	Substrate	0.8265	Non-inhibitor	0.7506	Non-inhibitor	0.8835	Non-inhibitor	0.7254	Non-inhibitor	0.6347	Non-inhibitor	0.9054	Low CYP Inhibitory Promiscuity	0.5851	Non AMES toxic	0.6406	Non-carcinogens	1.0	Not ready biodegradable	0.8841	Weak inhibitor	0.5249	Inhibitor	DB00014
4	0.8727	True	0.9659	False	0.6994	False	0.8463	Substrate	0.8685	Inhibitor	0.5992	Non-inhibitor	0.9485	Non-inhibitor	0.8628	Non-substrate	0.8823	Non-substrate	0.6407	Substrate	0.9045	Non-inhibitor	0.923	Non-inhibitor	0.9265	Non-inhibitor	0.9026	Non-inhibitor	0.6112	Non-inhibitor	0.9968	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.8948	Non-carcinogens	0.9244	Not ready biodegradable	0.9815	Weak inhibitor	0.9214	Non-inhibitor	DB00091
5	0.9239	True	0.8738	False	0.7824	False	0.8557	Substrate	0.9599	Non-inhibitor	0.969	Non-inhibitor	0.8506	Non-inhibitor	0.8205	Non-substrate	0.7632	Non-substrate	0.5268	Non-substrate	0.7975	Non-inhibitor	0.7743	Non-inhibitor	0.8449	Non-inhibitor	0.7355	Non-inhibitor	0.8236	Non-inhibitor	0.708	Low CYP Inhibitory Promiscuity	0.6448	Non AMES toxic	0.8761	Non-carcinogens	0.9943	Not ready biodegradable	0.9693	Weak inhibitor	0.6064	Inhibitor	DB00104
12	0.9733	True	0.5902	True	0.8129	True	0.721	Non-substrate	0.9916	Non-inhibitor	0.9941	Non-inhibitor	0.9204	Non-inhibitor	0.8512	Non-substrate	0.8296	Non-substrate	0.8378	Non-substrate	0.9448	Non-inhibitor	0.9792	Non-inhibitor	0.9674	Non-inhibitor	0.9797	Non-inhibitor	0.9278	Non-inhibitor	0.9896	Low CYP Inhibitory Promiscuity	0.9211	Non AMES toxic	0.8441	Non-carcinogens	0.7562	Ready biodegradable	0.9805	Weak inhibitor	0.9737	Non-inhibitor	DB00120
15	0.8289	True	0.6882	True	0.7316	False	0.5564	Non-substrate	0.9814	Non-inhibitor	0.8803	Non-inhibitor	0.7475	Non-inhibitor	0.7822	Non-substrate	0.6787	Non-substrate	0.8105	Non-substrate	0.8555	Non-inhibitor	0.9071	Non-inhibitor	0.9231	Non-inhibitor	0.7705	Non-inhibitor	0.8925	Non-inhibitor	0.9945	Low CYP Inhibitory Promiscuity	0.7182	AMES toxic	0.9229	Non-carcinogens	0.8394	Ready biodegradable	0.9533	Weak inhibitor	0.9683	Non-inhibitor	DB00125
20	0.5588	False	0.9604	True	0.8957	False	0.7302	Non-substrate	0.964	Non-inhibitor	0.9919	Non-inhibitor	0.961	Non-inhibitor	0.845	Non-substrate	0.8496	Non-substrate	0.7544	Non-substrate	0.9583	Non-inhibitor	0.9741	Non-inhibitor	0.96	Non-inhibitor	0.9761	Non-inhibitor	0.8936	Non-inhibitor	0.9932	Low CYP Inhibitory Promiscuity	0.7849	Non AMES toxic	0.9136	Non-carcinogens	0.8854	Ready biodegradable	0.9953	Weak inhibitor	0.9828	Non-inhibitor	DB00130
21	0.6115	False	0.9402	True	0.7398	False	0.6874	Non-substrate	0.9111	Non-inhibitor	0.9852	Non-inhibitor	0.947	Non-inhibitor	0.848	Non-substrate	0.8331	Non-substrate	0.5462	Non-substrate	0.9078	Non-inhibitor	0.9419	Non-inhibitor	0.921	Non-inhibitor	0.9293	Non-inhibitor	0.9296	Non-inhibitor	0.9633	Low CYP Inhibitory Promiscuity	0.8718	Non AMES toxic	0.9239	Non-carcinogens	0.9793	Not ready biodegradable	0.976	Weak inhibitor	0.8625	Non-inhibitor	DB00131
24	0.9797	True	0.8447	True	0.6698	False	0.5351	Non-substrate	0.9802	Non-inhibitor	0.9919	Non-inhibitor	0.8913	Non-inhibitor	0.7875	Non-substrate	0.7323	Non-substrate	0.7008	Non-substrate	0.8295	Non-inhibitor	0.9489	Non-inhibitor	0.9567	Non-inhibitor	0.951	Non-inhibitor	0.9758	Non-inhibitor	0.9938	Low CYP Inhibitory Promiscuity	0.9132	Non AMES toxic	0.9224	Non-carcinogens	0.5613	Ready biodegradable	0.9725	Weak inhibitor	0.9655	Non-inhibitor	DB00134
25	0.9924	True	0.8524	True	0.7812	True	0.7843	Substrate	0.6065	Non-inhibitor	0.6073	Non-inhibitor	0.8178	Non-inhibitor	0.8367	Non-substrate	0.9022	Non-substrate	0.7506	Substrate	0.9033	Non-inhibitor	0.8354	Non-inhibitor	0.9495	Non-inhibitor	0.7796	Non-inhibitor	0.813	Non-inhibitor	0.6175	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.9274	Non-carcinogens	0.9937	Not ready biodegradable	0.8734	Weak inhibitor	0.8579	Non-inhibitor	DB00136
26	0.9972	True	0.6588	True	0.7904	True	0.5199	Substrate	0.5819	Inhibitor	0.8202	Non-inhibitor	0.876	Non-inhibitor	0.8299	Non-substrate	0.8408	Non-substrate	0.6607	Substrate	0.9079	Non-inhibitor	0.7723	Non-inhibitor	0.9368	Non-inhibitor	0.5225	Inhibitor	0.8808	Non-inhibitor	0.6267	Low CYP Inhibitory Promiscuity	0.8391	Non AMES toxic	0.7489	Non-carcinogens	0.9655	Not ready biodegradable	0.9273	Weak inhibitor	0.8259	Non-inhibitor	DB00137
