Unnamed: 0	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
7	0.9574	True	0.7447	False	0.6455	False	0.8341	Substrate	0.5082	Non-inhibitor	0.6369	Inhibitor	0.898	Non-inhibitor	0.8104	Non-substrate	0.8085	Non-substrate	0.65	Substrate	0.8775	Non-inhibitor	0.8775	Non-inhibitor	0.8737	Non-inhibitor	0.7076	Non-inhibitor	0.7118	Inhibitor	0.8125	Low CYP Inhibitory Promiscuity	0.5707	Non AMES toxic	0.7782	Non-carcinogens	0.9972	Not ready biodegradable	0.8988	Weak inhibitor	0.682	Non-inhibitor	DB00115
14	0.964	False	0.9214	True	0.8867	True	0.5169	Non-substrate	0.9881	Non-inhibitor	0.9543	Non-inhibitor	0.7651	Non-inhibitor	0.7719	Non-substrate	0.5882	Non-substrate	0.5505	Non-substrate	0.9193	Non-inhibitor	0.9496	Non-inhibitor	0.9231	Non-inhibitor	0.9497	Non-inhibitor	0.9904	Non-inhibitor	0.9936	Low CYP Inhibitory Promiscuity	0.9387	Non AMES toxic	0.5996	Carcinogens 	0.7211	Ready biodegradable	0.8202	Weak inhibitor	0.8071	Non-inhibitor	DB00122
16	0.6559	True	0.8532	True	0.771	False	0.6077	Non-substrate	0.9097	Non-inhibitor	0.9807	Non-inhibitor	0.9008	Non-inhibitor	0.8133	Non-substrate	0.8696	Non-substrate	0.6361	Non-substrate	0.8958	Non-inhibitor	0.9478	Non-inhibitor	0.9347	Non-inhibitor	0.9383	Non-inhibitor	0.9662	Non-inhibitor	0.9249	Low CYP Inhibitory Promiscuity	0.8941	Non AMES toxic	0.9417	Non-carcinogens	0.9526	Ready biodegradable	0.9676	Weak inhibitor	0.9286	Non-inhibitor	DB00126
17	0.9215	True	0.6345	True	0.7072	True	0.5094	Non-substrate	0.9178	Non-inhibitor	0.6414	Non-inhibitor	0.6066	Non-inhibitor	0.8863	Non-substrate	0.5607	Non-substrate	0.8262	Non-substrate	0.877	Inhibitor	0.9072	Non-inhibitor	0.9502	Non-inhibitor	0.9026	Non-inhibitor	0.9703	Non-inhibitor	0.9386	Low CYP Inhibitory Promiscuity	0.8957	Non AMES toxic	0.6436	Non-carcinogens	0.5525	Ready biodegradable	0.7691	Weak inhibitor	0.7739	Non-inhibitor	DB00127
18	0.5825	False	0.6594	False	0.8271	False	0.7668	Non-substrate	0.9714	Non-inhibitor	0.9916	Non-inhibitor	0.9672	Non-inhibitor	0.856	Non-substrate	0.8541	Non-substrate	0.7916	Non-substrate	0.9605	Non-inhibitor	0.9657	Non-inhibitor	0.9547	Non-inhibitor	0.973	Non-inhibitor	0.9372	Non-inhibitor	1.0	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.8906	Non-carcinogens	0.9088	Ready biodegradable	0.9849	Weak inhibitor	0.9795	Non-inhibitor	DB00128
19	0.8449	True	0.7613	True	0.7431	False	0.6568	Non-substrate	0.9856	Non-inhibitor	0.9681	Non-inhibitor	0.8847	Non-inhibitor	0.8464	Non-substrate	0.7517	Non-substrate	0.8238	Non-substrate	0.9653	Non-inhibitor	0.9639	Non-inhibitor	0.9786	Non-inhibitor	0.9659	Non-inhibitor	0.9327	Non-inhibitor	0.9931	Low CYP Inhibitory Promiscuity	0.8541	AMES toxic	0.8407	Non-carcinogens	0.8711	Ready biodegradable	0.9771	Weak inhibitor	0.9663	Non-inhibitor	DB00129
22	0.9896	True	0.9314	True	0.7735	True	0.6766	Non-substrate	0.9499	Non-inhibitor	0.9025	Non-inhibitor	0.9311	Non-inhibitor	0.7735	Non-substrate	0.9081	Non-substrate	0.6884	Non-substrate	0.6915	Inhibitor	0.8798	Non-inhibitor	0.9631	Non-inhibitor	0.9638	Non-inhibitor	0.9465	Non-inhibitor	0.9426	Low CYP Inhibitory Promiscuity	0.9132	Non AMES toxic	0.6502	Non-carcinogens	0.7808	Ready biodegradable	0.8818	Weak inhibitor	0.9315	Non-inhibitor	DB00132
23	0.9407	True	0.6529	False	0.7839	False	0.7693	Non-substrate	0.9862	Non-inhibitor	0.9877	Non-inhibitor	0.9436	Non-inhibitor	0.8673	Non-substrate	0.846	Non-substrate	0.8389	Non-substrate	0.9087	Non-inhibitor	0.9512	Non-inhibitor	0.9349	Non-inhibitor	0.945	Non-inhibitor	0.908	Non-inhibitor	0.9914	Low CYP Inhibitory Promiscuity	0.9088	Non AMES toxic	0.82	Non-carcinogens	0.9489	Ready biodegradable	0.9923	Weak inhibitor	0.9811	Non-inhibitor	DB00133
30	0.7511	True	0.7394	True	0.8423	False	0.7321	Non-substrate	0.8669	Non-inhibitor	0.8873	Non-inhibitor	0.971	Non-inhibitor	0.7733	Non-substrate	0.8286	Non-substrate	0.6654	Non-substrate	0.9215	Non-inhibitor	0.9064	Non-inhibitor	0.9409	Non-inhibitor	0.944	Non-inhibitor	0.9473	Non-inhibitor	0.9766	Low CYP Inhibitory Promiscuity	0.7108	Non AMES toxic	0.9044	Non-carcinogens	0.9048	Ready biodegradable	0.995	Weak inhibitor	0.9616	Non-inhibitor	DB00141
32	0.6612	False	0.5475	True	0.666	False	0.5358	Non-substrate	0.7716	Non-inhibitor	0.9679	Non-inhibitor	0.9512	Non-inhibitor	0.9229	Non-substrate	0.8056	Non-substrate	0.6063	Non-substrate	0.7648	Non-inhibitor	0.8731	Non-inhibitor	0.8662	Non-inhibitor	0.7588	Non-inhibitor	0.7248	Non-inhibitor	0.9716	Low CYP Inhibitory Promiscuity	0.7626	Non AMES toxic	0.7671	Non-carcinogens	0.7036	Not ready biodegradable	0.9279	Weak inhibitor	0.7921	Non-inhibitor	DB00144
