Unnamed: 0	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
1	0.9771	True	0.8816	False	0.7772	False	0.9016	Substrate	0.5834	Non-inhibitor	0.8342	Non-inhibitor	0.7673	Non-inhibitor	0.7534	Non-substrate	0.7806	Non-substrate	0.6353	Substrate	0.8265	Non-inhibitor	0.7506	Non-inhibitor	0.8835	Non-inhibitor	0.7254	Non-inhibitor	0.6347	Non-inhibitor	0.9054	Low CYP Inhibitory Promiscuity	0.5851	Non AMES toxic	0.6406	Non-carcinogens	1.0	Not ready biodegradable	0.8841	Weak inhibitor	0.5249	Inhibitor	DB00014
2	0.7979	True	0.8866	False	0.7612	False	0.8242	Substrate	0.7864	Non-inhibitor	0.9237	Non-inhibitor	0.5915	Non-inhibitor	0.7833	Non-substrate	0.7901	Non-substrate	0.5497	Non-substrate	0.8383	Non-inhibitor	0.7906	Non-inhibitor	0.8735	Non-inhibitor	0.765	Non-inhibitor	0.7663	Non-inhibitor	0.9331	Low CYP Inhibitory Promiscuity	0.6679	Non AMES toxic	0.8428	Non-carcinogens	0.9445	Not ready biodegradable	0.83	Weak inhibitor	0.6036	Inhibitor	DB00035
3	0.913	True	0.9647	False	0.748	False	0.8796	Substrate	0.8235	Non-inhibitor	0.6194	Inhibitor	0.6856	Non-inhibitor	0.7609	Non-substrate	0.7938	Non-substrate	0.6358	Substrate	0.7491	Non-inhibitor	0.6987	Non-inhibitor	0.8339	Non-inhibitor	0.7056	Non-inhibitor	0.6531	Inhibitor	0.9001	Low CYP Inhibitory Promiscuity	0.6327	Non AMES toxic	0.7553	Non-carcinogens	1.0	Not ready biodegradable	0.7601	Weak inhibitor	0.649	Inhibitor	DB00050
7	0.9574	True	0.7447	False	0.6455	False	0.8341	Substrate	0.5082	Non-inhibitor	0.6369	Inhibitor	0.898	Non-inhibitor	0.8104	Non-substrate	0.8085	Non-substrate	0.65	Substrate	0.8775	Non-inhibitor	0.8775	Non-inhibitor	0.8737	Non-inhibitor	0.7076	Non-inhibitor	0.7118	Inhibitor	0.8125	Low CYP Inhibitory Promiscuity	0.5707	Non AMES toxic	0.7782	Non-carcinogens	0.9972	Not ready biodegradable	0.8988	Weak inhibitor	0.682	Non-inhibitor	DB00115
9	0.8921	True	0.7546	True	0.6669	False	0.6143	Non-substrate	0.9889	Non-inhibitor	0.9923	Non-inhibitor	0.907	Non-inhibitor	0.8647	Non-substrate	0.8235	Non-substrate	0.8363	Non-substrate	0.9815	Non-inhibitor	0.9646	Non-inhibitor	0.9566	Non-inhibitor	0.9656	Non-inhibitor	0.8309	Non-inhibitor	0.9798	Low CYP Inhibitory Promiscuity	0.7016	Non AMES toxic	0.9206	Non-carcinogens	0.569	Not ready biodegradable	0.9893	Weak inhibitor	0.9551	Non-inhibitor	DB00117
10	0.8102	True	0.8894	False	0.7307	False	0.7584	Substrate	0.9664	Non-inhibitor	0.993	Non-inhibitor	0.9295	Non-inhibitor	0.8308	Non-substrate	0.8224	Non-substrate	0.5753	Substrate	0.8308	Non-inhibitor	0.8396	Non-inhibitor	0.9192	Non-inhibitor	0.8457	Non-inhibitor	0.9731	Non-inhibitor	0.9647	Low CYP Inhibitory Promiscuity	0.6899	Non AMES toxic	0.9417	Non-carcinogens	0.9486	Not ready biodegradable	0.9755	Weak inhibitor	0.7962	Non-inhibitor	DB00118
11	0.9753	True	0.9401	True	0.6934	False	0.8153	Non-substrate	0.9498	Non-inhibitor	0.9514	Non-inhibitor	0.949	Non-inhibitor	0.7951	Non-substrate	0.9402	Non-substrate	0.7806	Non-substrate	0.98	Non-inhibitor	0.9608	Non-inhibitor	0.9697	Non-inhibitor	0.9834	Non-inhibitor	0.9882	Non-inhibitor	0.9932	Low CYP Inhibitory Promiscuity	0.8578	Non AMES toxic	0.5171	Carcinogens 	0.9262	Ready biodegradable	0.9883	Weak inhibitor	0.9801	Non-inhibitor	DB00119
12	0.9733	True	0.5902	True	0.8129	True	0.721	Non-substrate	0.9916	Non-inhibitor	0.9941	Non-inhibitor	0.9204	Non-inhibitor	0.8512	Non-substrate	0.8296	Non-substrate	0.8378	Non-substrate	0.9448	Non-inhibitor	0.9792	Non-inhibitor	0.9674	Non-inhibitor	0.9797	Non-inhibitor	0.9278	Non-inhibitor	0.9896	Low CYP Inhibitory Promiscuity	0.9211	Non AMES toxic	0.8441	Non-carcinogens	0.7562	Ready biodegradable	0.9805	Weak inhibitor	0.9737	Non-inhibitor	DB00120
19	0.8449	True	0.7613	True	0.7431	False	0.6568	Non-substrate	0.9856	Non-inhibitor	0.9681	Non-inhibitor	0.8847	Non-inhibitor	0.8464	Non-substrate	0.7517	Non-substrate	0.8238	Non-substrate	0.9653	Non-inhibitor	0.9639	Non-inhibitor	0.9786	Non-inhibitor	0.9659	Non-inhibitor	0.9327	Non-inhibitor	0.9931	Low CYP Inhibitory Promiscuity	0.8541	AMES toxic	0.8407	Non-carcinogens	0.8711	Ready biodegradable	0.9771	Weak inhibitor	0.9663	Non-inhibitor	DB00129
20	0.5588	False	0.9604	True	0.8957	False	0.7302	Non-substrate	0.964	Non-inhibitor	0.9919	Non-inhibitor	0.961	Non-inhibitor	0.845	Non-substrate	0.8496	Non-substrate	0.7544	Non-substrate	0.9583	Non-inhibitor	0.9741	Non-inhibitor	0.96	Non-inhibitor	0.9761	Non-inhibitor	0.8936	Non-inhibitor	0.9932	Low CYP Inhibitory Promiscuity	0.7849	Non AMES toxic	0.9136	Non-carcinogens	0.8854	Ready biodegradable	0.9953	Weak inhibitor	0.9828	Non-inhibitor	DB00130
