Unnamed: 0	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
1	0.9771	True	0.8816	False	0.7772	False	0.9016	Substrate	0.5834	Non-inhibitor	0.8342	Non-inhibitor	0.7673	Non-inhibitor	0.7534	Non-substrate	0.7806	Non-substrate	0.6353	Substrate	0.8265	Non-inhibitor	0.7506	Non-inhibitor	0.8835	Non-inhibitor	0.7254	Non-inhibitor	0.6347	Non-inhibitor	0.9054	Low CYP Inhibitory Promiscuity	0.5851	Non AMES toxic	0.6406	Non-carcinogens	1.0	Not ready biodegradable	0.8841	Weak inhibitor	0.5249	Inhibitor	DB00014
3	0.913	True	0.9647	False	0.748	False	0.8796	Substrate	0.8235	Non-inhibitor	0.6194	Inhibitor	0.6856	Non-inhibitor	0.7609	Non-substrate	0.7938	Non-substrate	0.6358	Substrate	0.7491	Non-inhibitor	0.6987	Non-inhibitor	0.8339	Non-inhibitor	0.7056	Non-inhibitor	0.6531	Inhibitor	0.9001	Low CYP Inhibitory Promiscuity	0.6327	Non AMES toxic	0.7553	Non-carcinogens	1.0	Not ready biodegradable	0.7601	Weak inhibitor	0.649	Inhibitor	DB00050
7	0.9574	True	0.7447	False	0.6455	False	0.8341	Substrate	0.5082	Non-inhibitor	0.6369	Inhibitor	0.898	Non-inhibitor	0.8104	Non-substrate	0.8085	Non-substrate	0.65	Substrate	0.8775	Non-inhibitor	0.8775	Non-inhibitor	0.8737	Non-inhibitor	0.7076	Non-inhibitor	0.7118	Inhibitor	0.8125	Low CYP Inhibitory Promiscuity	0.5707	Non AMES toxic	0.7782	Non-carcinogens	0.9972	Not ready biodegradable	0.8988	Weak inhibitor	0.682	Non-inhibitor	DB00115
10	0.8102	True	0.8894	False	0.7307	False	0.7584	Substrate	0.9664	Non-inhibitor	0.993	Non-inhibitor	0.9295	Non-inhibitor	0.8308	Non-substrate	0.8224	Non-substrate	0.5753	Substrate	0.8308	Non-inhibitor	0.8396	Non-inhibitor	0.9192	Non-inhibitor	0.8457	Non-inhibitor	0.9731	Non-inhibitor	0.9647	Low CYP Inhibitory Promiscuity	0.6899	Non AMES toxic	0.9417	Non-carcinogens	0.9486	Not ready biodegradable	0.9755	Weak inhibitor	0.7962	Non-inhibitor	DB00118
13	0.7395	True	0.9383	True	0.7206	False	0.6413	Substrate	0.9561	Non-inhibitor	1.0	Non-inhibitor	0.8803	Non-inhibitor	0.7602	Non-substrate	0.7872	Non-substrate	0.6911	Non-substrate	0.9046	Non-inhibitor	0.9252	Non-inhibitor	0.9231	Non-inhibitor	0.9025	Non-inhibitor	0.8959	Non-inhibitor	0.9762	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.9598	Non-carcinogens	0.8923	Not ready biodegradable	0.9596	Weak inhibitor	0.9145	Non-inhibitor	DB00121
15	0.8289	True	0.6882	True	0.7316	False	0.5564	Non-substrate	0.9814	Non-inhibitor	0.8803	Non-inhibitor	0.7475	Non-inhibitor	0.7822	Non-substrate	0.6787	Non-substrate	0.8105	Non-substrate	0.8555	Non-inhibitor	0.9071	Non-inhibitor	0.9231	Non-inhibitor	0.7705	Non-inhibitor	0.8925	Non-inhibitor	0.9945	Low CYP Inhibitory Promiscuity	0.7182	AMES toxic	0.9229	Non-carcinogens	0.8394	Ready biodegradable	0.9533	Weak inhibitor	0.9683	Non-inhibitor	DB00125
18	0.5825	False	0.6594	False	0.8271	False	0.7668	Non-substrate	0.9714	Non-inhibitor	0.9916	Non-inhibitor	0.9672	Non-inhibitor	0.856	Non-substrate	0.8541	Non-substrate	0.7916	Non-substrate	0.9605	Non-inhibitor	0.9657	Non-inhibitor	0.9547	Non-inhibitor	0.973	Non-inhibitor	0.9372	Non-inhibitor	1.0	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.8906	Non-carcinogens	0.9088	Ready biodegradable	0.9849	Weak inhibitor	0.9795	Non-inhibitor	DB00128
19	0.8449	True	0.7613	True	0.7431	False	0.6568	Non-substrate	0.9856	Non-inhibitor	0.9681	Non-inhibitor	0.8847	Non-inhibitor	0.8464	Non-substrate	0.7517	Non-substrate	0.8238	Non-substrate	0.9653	Non-inhibitor	0.9639	Non-inhibitor	0.9786	Non-inhibitor	0.9659	Non-inhibitor	0.9327	Non-inhibitor	0.9931	Low CYP Inhibitory Promiscuity	0.8541	AMES toxic	0.8407	Non-carcinogens	0.8711	Ready biodegradable	0.9771	Weak inhibitor	0.9663	Non-inhibitor	DB00129
23	0.9407	True	0.6529	False	0.7839	False	0.7693	Non-substrate	0.9862	Non-inhibitor	0.9877	Non-inhibitor	0.9436	Non-inhibitor	0.8673	Non-substrate	0.846	Non-substrate	0.8389	Non-substrate	0.9087	Non-inhibitor	0.9512	Non-inhibitor	0.9349	Non-inhibitor	0.945	Non-inhibitor	0.908	Non-inhibitor	0.9914	Low CYP Inhibitory Promiscuity	0.9088	Non AMES toxic	0.82	Non-carcinogens	0.9489	Ready biodegradable	0.9923	Weak inhibitor	0.9811	Non-inhibitor	DB00133
30	0.7511	True	0.7394	True	0.8423	False	0.7321	Non-substrate	0.8669	Non-inhibitor	0.8873	Non-inhibitor	0.971	Non-inhibitor	0.7733	Non-substrate	0.8286	Non-substrate	0.6654	Non-substrate	0.9215	Non-inhibitor	0.9064	Non-inhibitor	0.9409	Non-inhibitor	0.944	Non-inhibitor	0.9473	Non-inhibitor	0.9766	Low CYP Inhibitory Promiscuity	0.7108	Non AMES toxic	0.9044	Non-carcinogens	0.9048	Ready biodegradable	0.995	Weak inhibitor	0.9616	Non-inhibitor	DB00141
