Unnamed: 0	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
2	0.7979	True	0.8866	False	0.7612	False	0.8242	Substrate	0.7864	Non-inhibitor	0.9237	Non-inhibitor	0.5915	Non-inhibitor	0.7833	Non-substrate	0.7901	Non-substrate	0.5497	Non-substrate	0.8383	Non-inhibitor	0.7906	Non-inhibitor	0.8735	Non-inhibitor	0.765	Non-inhibitor	0.7663	Non-inhibitor	0.9331	Low CYP Inhibitory Promiscuity	0.6679	Non AMES toxic	0.8428	Non-carcinogens	0.9445	Not ready biodegradable	0.83	Weak inhibitor	0.6036	Inhibitor	DB00035
5	0.9239	True	0.8738	False	0.7824	False	0.8557	Substrate	0.9599	Non-inhibitor	0.969	Non-inhibitor	0.8506	Non-inhibitor	0.8205	Non-substrate	0.7632	Non-substrate	0.5268	Non-substrate	0.7975	Non-inhibitor	0.7743	Non-inhibitor	0.8449	Non-inhibitor	0.7355	Non-inhibitor	0.8236	Non-inhibitor	0.708	Low CYP Inhibitory Promiscuity	0.6448	Non AMES toxic	0.8761	Non-carcinogens	0.9943	Not ready biodegradable	0.9693	Weak inhibitor	0.6064	Inhibitor	DB00104
6	0.5078	True	0.8022	True	0.6476	False	0.6324	Non-substrate	0.9035	Non-inhibitor	0.9694	Non-inhibitor	0.882	Non-inhibitor	0.6828	Non-substrate	0.7978	Non-substrate	0.5915	Non-substrate	0.8704	Non-inhibitor	0.9041	Non-inhibitor	0.901	Non-inhibitor	0.8772	Non-inhibitor	0.9308	Non-inhibitor	0.9352	Low CYP Inhibitory Promiscuity	0.6624	Non AMES toxic	0.8948	Non-carcinogens	0.5443	Ready biodegradable	0.8729	Weak inhibitor	0.9128	Non-inhibitor	DB00114
9	0.8921	True	0.7546	True	0.6669	False	0.6143	Non-substrate	0.9889	Non-inhibitor	0.9923	Non-inhibitor	0.907	Non-inhibitor	0.8647	Non-substrate	0.8235	Non-substrate	0.8363	Non-substrate	0.9815	Non-inhibitor	0.9646	Non-inhibitor	0.9566	Non-inhibitor	0.9656	Non-inhibitor	0.8309	Non-inhibitor	0.9798	Low CYP Inhibitory Promiscuity	0.7016	Non AMES toxic	0.9206	Non-carcinogens	0.569	Not ready biodegradable	0.9893	Weak inhibitor	0.9551	Non-inhibitor	DB00117
11	0.9753	True	0.9401	True	0.6934	False	0.8153	Non-substrate	0.9498	Non-inhibitor	0.9514	Non-inhibitor	0.949	Non-inhibitor	0.7951	Non-substrate	0.9402	Non-substrate	0.7806	Non-substrate	0.98	Non-inhibitor	0.9608	Non-inhibitor	0.9697	Non-inhibitor	0.9834	Non-inhibitor	0.9882	Non-inhibitor	0.9932	Low CYP Inhibitory Promiscuity	0.8578	Non AMES toxic	0.5171	Carcinogens 	0.9262	Ready biodegradable	0.9883	Weak inhibitor	0.9801	Non-inhibitor	DB00119
12	0.9733	True	0.5902	True	0.8129	True	0.721	Non-substrate	0.9916	Non-inhibitor	0.9941	Non-inhibitor	0.9204	Non-inhibitor	0.8512	Non-substrate	0.8296	Non-substrate	0.8378	Non-substrate	0.9448	Non-inhibitor	0.9792	Non-inhibitor	0.9674	Non-inhibitor	0.9797	Non-inhibitor	0.9278	Non-inhibitor	0.9896	Low CYP Inhibitory Promiscuity	0.9211	Non AMES toxic	0.8441	Non-carcinogens	0.7562	Ready biodegradable	0.9805	Weak inhibitor	0.9737	Non-inhibitor	DB00120
14	0.964	False	0.9214	True	0.8867	True	0.5169	Non-substrate	0.9881	Non-inhibitor	0.9543	Non-inhibitor	0.7651	Non-inhibitor	0.7719	Non-substrate	0.5882	Non-substrate	0.5505	Non-substrate	0.9193	Non-inhibitor	0.9496	Non-inhibitor	0.9231	Non-inhibitor	0.9497	Non-inhibitor	0.9904	Non-inhibitor	0.9936	Low CYP Inhibitory Promiscuity	0.9387	Non AMES toxic	0.5996	Carcinogens 	0.7211	Ready biodegradable	0.8202	Weak inhibitor	0.8071	Non-inhibitor	DB00122
16	0.6559	True	0.8532	True	0.771	False	0.6077	Non-substrate	0.9097	Non-inhibitor	0.9807	Non-inhibitor	0.9008	Non-inhibitor	0.8133	Non-substrate	0.8696	Non-substrate	0.6361	Non-substrate	0.8958	Non-inhibitor	0.9478	Non-inhibitor	0.9347	Non-inhibitor	0.9383	Non-inhibitor	0.9662	Non-inhibitor	0.9249	Low CYP Inhibitory Promiscuity	0.8941	Non AMES toxic	0.9417	Non-carcinogens	0.9526	Ready biodegradable	0.9676	Weak inhibitor	0.9286	Non-inhibitor	DB00126
17	0.9215	True	0.6345	True	0.7072	True	0.5094	Non-substrate	0.9178	Non-inhibitor	0.6414	Non-inhibitor	0.6066	Non-inhibitor	0.8863	Non-substrate	0.5607	Non-substrate	0.8262	Non-substrate	0.877	Inhibitor	0.9072	Non-inhibitor	0.9502	Non-inhibitor	0.9026	Non-inhibitor	0.9703	Non-inhibitor	0.9386	Low CYP Inhibitory Promiscuity	0.8957	Non AMES toxic	0.6436	Non-carcinogens	0.5525	Ready biodegradable	0.7691	Weak inhibitor	0.7739	Non-inhibitor	DB00127
20	0.5588	False	0.9604	True	0.8957	False	0.7302	Non-substrate	0.964	Non-inhibitor	0.9919	Non-inhibitor	0.961	Non-inhibitor	0.845	Non-substrate	0.8496	Non-substrate	0.7544	Non-substrate	0.9583	Non-inhibitor	0.9741	Non-inhibitor	0.96	Non-inhibitor	0.9761	Non-inhibitor	0.8936	Non-inhibitor	0.9932	Low CYP Inhibitory Promiscuity	0.7849	Non AMES toxic	0.9136	Non-carcinogens	0.8854	Ready biodegradable	0.9953	Weak inhibitor	0.9828	Non-inhibitor	DB00130
24	0.9797	True	0.8447	True	0.6698	False	0.5351	Non-substrate	0.9802	Non-inhibitor	0.9919	Non-inhibitor	0.8913	Non-inhibitor	0.7875	Non-substrate	0.7323	Non-substrate	0.7008	Non-substrate	0.8295	Non-inhibitor	0.9489	Non-inhibitor	0.9567	Non-inhibitor	0.951	Non-inhibitor	0.9758	Non-inhibitor	0.9938	Low CYP Inhibitory Promiscuity	0.9132	Non AMES toxic	0.9224	Non-carcinogens	0.5613	Ready biodegradable	0.9725	Weak inhibitor	0.9655	Non-inhibitor	DB00134
25	0.9924	True	0.8524	True	0.7812	True	0.7843	Substrate	0.6065	Non-inhibitor	0.6073	Non-inhibitor	0.8178	Non-inhibitor	0.8367	Non-substrate	0.9022	Non-substrate	0.7506	Substrate	0.9033	Non-inhibitor	0.8354	Non-inhibitor	0.9495	Non-inhibitor	0.7796	Non-inhibitor	0.813	Non-inhibitor	0.6175	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.9274	Non-carcinogens	0.9937	Not ready biodegradable	0.8734	Weak inhibitor	0.8579	Non-inhibitor	DB00136
