Unnamed: 0	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
0	0.8811	True	0.996	False	0.8319	False	0.8692	Substrate	0.647	Non-inhibitor	0.7858	Non-inhibitor	0.7959	Non-inhibitor	0.7558	Non-substrate	0.7957	Non-substrate	0.5794	Substrate	0.8977	Non-inhibitor	0.8331	Non-inhibitor	0.8894	Non-inhibitor	0.7784	Non-inhibitor	0.744	Non-inhibitor	0.9357	Low CYP Inhibitory Promiscuity	0.7642	Non AMES toxic	0.8217	Non-carcinogens	0.9705	Not ready biodegradable	0.9307	Weak inhibitor	0.514	Non-inhibitor	DB00006
5	0.9239	True	0.8738	False	0.7824	False	0.8557	Substrate	0.9599	Non-inhibitor	0.969	Non-inhibitor	0.8506	Non-inhibitor	0.8205	Non-substrate	0.7632	Non-substrate	0.5268	Non-substrate	0.7975	Non-inhibitor	0.7743	Non-inhibitor	0.8449	Non-inhibitor	0.7355	Non-inhibitor	0.8236	Non-inhibitor	0.708	Low CYP Inhibitory Promiscuity	0.6448	Non AMES toxic	0.8761	Non-carcinogens	0.9943	Not ready biodegradable	0.9693	Weak inhibitor	0.6064	Inhibitor	DB00104
14	0.964	False	0.9214	True	0.8867	True	0.5169	Non-substrate	0.9881	Non-inhibitor	0.9543	Non-inhibitor	0.7651	Non-inhibitor	0.7719	Non-substrate	0.5882	Non-substrate	0.5505	Non-substrate	0.9193	Non-inhibitor	0.9496	Non-inhibitor	0.9231	Non-inhibitor	0.9497	Non-inhibitor	0.9904	Non-inhibitor	0.9936	Low CYP Inhibitory Promiscuity	0.9387	Non AMES toxic	0.5996	Carcinogens 	0.7211	Ready biodegradable	0.8202	Weak inhibitor	0.8071	Non-inhibitor	DB00122
17	0.9215	True	0.6345	True	0.7072	True	0.5094	Non-substrate	0.9178	Non-inhibitor	0.6414	Non-inhibitor	0.6066	Non-inhibitor	0.8863	Non-substrate	0.5607	Non-substrate	0.8262	Non-substrate	0.877	Inhibitor	0.9072	Non-inhibitor	0.9502	Non-inhibitor	0.9026	Non-inhibitor	0.9703	Non-inhibitor	0.9386	Low CYP Inhibitory Promiscuity	0.8957	Non AMES toxic	0.6436	Non-carcinogens	0.5525	Ready biodegradable	0.7691	Weak inhibitor	0.7739	Non-inhibitor	DB00127
24	0.9797	True	0.8447	True	0.6698	False	0.5351	Non-substrate	0.9802	Non-inhibitor	0.9919	Non-inhibitor	0.8913	Non-inhibitor	0.7875	Non-substrate	0.7323	Non-substrate	0.7008	Non-substrate	0.8295	Non-inhibitor	0.9489	Non-inhibitor	0.9567	Non-inhibitor	0.951	Non-inhibitor	0.9758	Non-inhibitor	0.9938	Low CYP Inhibitory Promiscuity	0.9132	Non AMES toxic	0.9224	Non-carcinogens	0.5613	Ready biodegradable	0.9725	Weak inhibitor	0.9655	Non-inhibitor	DB00134
25	0.9924	True	0.8524	True	0.7812	True	0.7843	Substrate	0.6065	Non-inhibitor	0.6073	Non-inhibitor	0.8178	Non-inhibitor	0.8367	Non-substrate	0.9022	Non-substrate	0.7506	Substrate	0.9033	Non-inhibitor	0.8354	Non-inhibitor	0.9495	Non-inhibitor	0.7796	Non-inhibitor	0.813	Non-inhibitor	0.6175	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.9274	Non-carcinogens	0.9937	Not ready biodegradable	0.8734	Weak inhibitor	0.8579	Non-inhibitor	DB00136
31	0.7892	False	0.6491	True	0.8191	False	0.5706	Non-substrate	0.9195	Non-inhibitor	0.99	Non-inhibitor	0.9445	Non-inhibitor	0.8791	Non-substrate	0.8096	Non-substrate	0.7544	Non-substrate	0.9437	Non-inhibitor	0.9179	Non-inhibitor	0.9502	Non-inhibitor	0.919	Non-inhibitor	0.939	Non-inhibitor	0.9898	Low CYP Inhibitory Promiscuity	0.9107	AMES toxic	0.9224	Non-carcinogens	0.597	Not ready biodegradable	0.9897	Weak inhibitor	0.9476	Non-inhibitor	DB00143
32	0.6612	False	0.5475	True	0.666	False	0.5358	Non-substrate	0.7716	Non-inhibitor	0.9679	Non-inhibitor	0.9512	Non-inhibitor	0.9229	Non-substrate	0.8056	Non-substrate	0.6063	Non-substrate	0.7648	Non-inhibitor	0.8731	Non-inhibitor	0.8662	Non-inhibitor	0.7588	Non-inhibitor	0.7248	Non-inhibitor	0.9716	Low CYP Inhibitory Promiscuity	0.7626	Non AMES toxic	0.7671	Non-carcinogens	0.7036	Not ready biodegradable	0.9279	Weak inhibitor	0.7921	Non-inhibitor	DB00144
34	0.9953	True	0.9164	True	0.8891	True	0.7454	Substrate	0.5209	Inhibitor	0.6087	Inhibitor	0.7849	Non-inhibitor	0.8379	Non-substrate	0.9004	Non-substrate	0.7815	Substrate	0.8874	Non-inhibitor	0.9229	Non-inhibitor	0.9488	Non-inhibitor	0.7885	Non-inhibitor	0.7968	Non-inhibitor	0.56	Low CYP Inhibitory Promiscuity	0.8612	Non AMES toxic	0.917	Non-carcinogens	0.991	Not ready biodegradable	0.8189	Weak inhibitor	0.7589	Non-inhibitor	DB00146
36	0.9605	True	0.6849	True	0.6228	False	0.5275	Non-substrate	0.9704	Non-inhibitor	0.8744	Non-inhibitor	0.8321	Non-inhibitor	0.7916	Non-substrate	0.767	Non-substrate	0.7585	Non-substrate	0.9136	Non-inhibitor	0.9068	Non-inhibitor	0.8954	Non-inhibitor	0.9157	Non-inhibitor	0.9346	Non-inhibitor	0.9969	Low CYP Inhibitory Promiscuity	0.7522	Non AMES toxic	0.8138	Non-carcinogens	0.7859	Not ready biodegradable	0.9653	Weak inhibitor	0.9649	Non-inhibitor	DB00148
